|pred|actual
41|" E[

denoted the expectation"|469 (95% CI: 403&minus;540) unreported cases from 1 to 15 Januar
42|" E[

denoted the expectation"|basic reproduction number,
43| 21-fold|reased 21-fold (95% CI: 18
44| 2.56|019-nCoV at 2.56 (95% CI
45|" E[

denoted the expectation"|to have occurred during the first ha
46| Wuhan, China|s first identified in Wuhan, China
47| fever, cough, and shortness of breath|ymptoms including fever, cough, and sh
48| 41|sed
49| As of 26 January 2020, the still ongoing outbreak had resulted in 2066 (618 of them are in Wuhan) confirmed cases and 56 (45 of them were in Wuhan) deaths in mainland China|k had resulted in 2066 (618 of them are in Wuhan) confirmed cases and 56 (45 of them were in Wuhan) deaths in
50| Thailand, Japan, Republic of Korea, Hong Kong, Taiwan, Australia, and the United States|were reported in Thailand, Japan, Republic of Korea, Hong Kong, Taiwan, Australia, and
51|" E[

denoted the expectation. The simulation was implemented starting from 1 January 2020 with a cumulative number of cases seed of 40, the same as reported on 31 December 2019. We conducted 1000 samples and calculated the median and 95% CI.

The number of 2019-nCoV unreported cases was estimated at 469 (95% CI: 403-540), see Figure 1a, which was significantly larger than 0. This finding implied the occurrence of under-reporting between 1 and 15 January 2020. After accounting for the effect of under-reporting, the R 0 was estimated at 2.56 (95% CI: 2.49-2.63), see Figure 1b, which is consistent with many existing online preprints with range from 2 to 4 [5, [20] [21] [22]. With the R 0 of 2.56 and ξ of 469, the exponential growing framework fitted the cumulative total number of cases (C i ) remarkably well, see Figure 1c iterative Poisson process such that

denoted the expectation. The simulation was implemented starting from 1 January 2020 with a cumulative number of cases seed of 40, the same as reported on 31 December 2019. We conducted 1000 samples and calculated the median and 95% CI.

The number of 2019-nCoV unreported cases was estimated at 469 (95% CI: 403−540), see Figure  1a, which was significantly larger than 0. This finding implied the occurrence of under-reporting between 1 and 15 January 2020. After accounting for the effect of under-reporting, the R0 was estimated at 2.56 (95% CI: 2.49−2.63), see Figure 1b, which is consistent with many existing online preprints with range from 2 to 4 [5, [20] [21] [22]. With the R0 of 2.56 and ξ of 469, the exponential growing framework fitted the cumulative total number of cases (Ci) remarkably well, see Figure 1c, referring to McFadden's pseudo-R-squared of 0.99. show the exponential growth fitting results of the cumulative number of cases (Ci) and the daily number of cases (εi) respectively. In panels (c) and (d), the gold squares are the reported cases, the blue bold curve represents the median of the fitting results, the dashed blue curves are the 95% CI of the fitting results, and the purple shading area represents the time window from 1 to 15 January 2020. In panel (c), the blue dots are the cumulative total, i.e., reported and unreported, number of cases. In panel (d), the grey curves are the 1000 simulation samples.

Our estimation of R0 rely on the SI of 2019-nCoV, which remains unknown as of 26 January 2020. In this work, we employed the SIs of SARS and MERS as approximations to that of 2019-nCoV. The determination of SI requires the knowledge of the chain of disease transmission that needs a sufficient number of patient samples and periods of time for follow-up [23], and thus this is unlikely to be achieved shortly. However, using SIs of SARS and MERS as approximation could provide an panels (a,b), the green shading area represents the 95% CI (on the horizontal axis), and the vertical green line represents the maximum likelihood estimate (MLE) of the number of unreported cases. With the MLE of R 0 at 2.56, panels (c,d) show the exponential growth fitting results of the cumulative number of cases (C i ) and the daily number of cases (ε i ) respectively. In panels (c,d), the gold squares are the reported cases, the blue bold curve represents the median of the fitting results, the dashed blue curves are the 95% CI of the fitting results, and the purple shading area represents the time window from 1 to 15 January 2020. In panel (c), the blue dots are the cumulative total, i.e., reported and unreported, number of cases. In panel (d), the grey curves are the 1000 simulation samples.

Our estimation of R 0 rely on the SI of 2019-nCoV, which remains unknown as of 26 January 2020. In this work, we employed the SIs of SARS and MERS as approximations to that of 2019-nCoV.

The determination of SI requires the knowledge of the chain of disease transmission that needs a sufficient number of patient samples and periods of time for follow-up [23], and thus this is unlikely to be achieved shortly. However, using SIs of SARS and MERS as approximation could provide an insight into the transmission potential of 2019-nCoV at the early outbreak. We note that slightly varying the mean and SD of SI would not affect our main conclusions. The R 0 of 2019-nCoV was estimated at 2.56 (95% CI: 2.49-2.63), and it is generally in line with those of SARS, i.e., 2-5 [19, 24, 25], and MERS, i.e., 2.7-3.9 [26].

For the simulated daily number of cases (ε i ), see Figure 1d, we found that ε i matched the observed daily number after 17 January 2020, but was significantly larger than the observations from 1 to 17 January 2020. This finding implied that under-reporting was likely to have occurred in the first half of January 2020. We estimated that the reporting rate after 17 January 2020 increased 21-fold (95% CI: [18] [19] [20] [21] [22] [23] [24] [25] compared to the situation from 1 to 17 January 2020 on average. One of the possible reasons was that the official diagnostic protocol was released by WHO on 17 January 2020 [27], and the diagnosis and reporting efforts of 2019-nCoV infections probably increased. Thereafter, the daily number of newly reported cases started increasing rapidly after 17 January 2020, see Figure 1d. We conducted additional sensitivity analysis by varying the starting date of the under-reporting time window, e.g., 1 January 2020 in the main results, from 2 December 2019 to 3 January 2020, and we report our estimates largely hold. The exact value of the reporting rate was difficult to determine due to lack of serological surveillance data. The reporting rate can be determined if serological surveillance data are available for a population; we would know who was infected (seropositive) and who was not (seronegative), with high confidence. The reporting rate is the ratio of reported cases over the number of seropositive individuals. It was statistically evident that increasing in reporting was likely, and thus it should be considered in the future investigation of this outbreak.

Previous preprint suggested cumulative cases of 1723 (95% CI: 427-4471) as of 12 January 2020, and 4000 (95% CI: 1000-9700) as of 18 January 2020 based on the aggregated international export cases [5]. Our analysis yielded cumulative cases of 280 (95% CI: 128-613) as of 12 January 2020, and 609 (95% CI: 278-1333) as of 18 January 2020 based on the exponential growing mechanistic in the early outbreak. Although our estimate case number appeared to have a lower mean than those estimated by Imai et al. [5], they are not statistically different. This study applied a different screening effort to detect the 2019-nCoV cases from that in Imai et al. [5]. Imai et al. assumed the average screening effort at overseas airports that covered travelers arriving from Wuhan. Whereas we assumed a constant screening effort applied in Wuhan at the same point of time, and then a number of cases (i.e., ξ) should have been reported yet failed to be reported in the first half of January 2020 due to all sorts of reasons. It is not surprising that different assumptions yielded different results, and this difference in screening effort also partly explained why the detected cases out of China mainly presented mild symptoms. Thus, it was reasonable that our estimates appeared lower than those estimated by Imai et al. [5]. It must be emphasized that such a gap in the knowledge would be resolved by serological survey study (for a large population to approximate the actual positive rate) or an explicit estimation of the actual reporting rate.

Under-reporting was likely to have occurred and resulted in 469 (95% CI: 403-540) unreported cases from 1 to 15 January 2020. The reporting rate after 17 January 2020 was likely to have increased 21-fold (95% CI: 18-25) compared with the situation from 1 to 17 January 2020 on average, and it should be considered in future investigation. We estimated the R 0 at 2019-nCoV to be 2.56 (95% CI: 2.49-2.63"|at there had been 4000 (95%CI: 1000-9700) cases in Wuhan with symptoms onset by 18 January 2020, and the basic reproduction number (R 0 ) was estimated at 2.6 (95
52| Wuhan Municipal Health Commission|y released by the Wuhan Municipal
53| National Health Commission of China|, and later by the National Health C
54| exponential growing Poisson process|, the C i series, as an exponential growi
55| exponential growing Poisson process|, the C i series, as an exponential growin
56| Global Initiative on Sharing All Influenza Data|Global Initiative on Sharing All Influenza Data (GISAID) (https://www.gisaid.org/)
57| E and RdRp|E and RdRp genes
58| adverse|smokers were 1.4 times more likely (RR=1.4, 95% CI: 0.98–2.00) to have severe symptoms of COVID-19 and approximately 2.4 times more likely to be admitted to an ICU, need mechanical ventilation or die compared to non-smokers (RR=2.4, 95% CI: 1.43–4.04)
59| smokers are twice more likely|Previous studies have shown that smokers are twice more likely than non-smokers to contract influenza and have more severe symptoms, while smokers were also noted to have higher mortality in the previous MERS-CoV outbreak
60| limited information available regarding incubation time, transmissibility, and virus origin|limited information available regarding incubation time, transmissibility, and virus origin
61| Washington|Washington
62||January 15, 2020
63| January 24, 2020|January 24, 2020
64| Chicago health authorities reported a second US case on January 24, 2020. This was quickly followed by additional imported cases reported in Orange and Los Angeles Counties, California|Chicago
65||January 30, 2020
66| January 31, 2020|January 30, 2020
67|" January 31, 2020, the US Department of Health and Human Services declared coronavirus a public health emergency. 7 Healthy individuals and those with mild illness may be asymptomatic, while others may have more pronounced symptoms of fever or lower respiratory illness. Upon identification of a suspected patient, that individual should immediately be isolated with airborne precautions. Further workup and laboratory confirmation can then proceed. Emergency physicians (EPs), emergency medical services (EMS) personnel, and other healthcare workers who encounter patients with suspected 2019-nCoV infection must inform the appropriate authorities, including but not limited to hospital infection control and local or state public health agencies.

Healthcare workers must follow on-going developments related to the outbreak, especially new information concerning detection and management. 8, 9 The 3I Tool outlined in this paper is consistent with current US CDC guidelines and can be applied in a variety of settings such as those in emergency departments, urgent-care clinics, physicians' offices, and prehospital settings. This paper will first briefly review 2019-nCoV and then present the novel 2019-nCoV 3I Tool as modified from its initial conception for Ebola virus disease 10,11 and later adapted for measles, 12 MERS, 13 mumps, 14 Zika virus disease, 15 hepatitis A, 16 pertussis, 17 and scabies. 18 

Coronavirus 2019-nCoV infection commonly presents with signs and symptoms of pneumonia or as a nonspecific lower respiratory illness, with coughing or difficulty breathing accompanied by fever. 5, 19, 20 Fever and cough constitute the most common presentations. However, patients may have other respiratory symptoms, sore throat, nasal congestion, malaise, myalgia, and headache. Bilateral infiltrates may be seen on chest X-ray. Severe cases may present with sepsis and even shock. Conversely, some patients may present as only mildly ill or asymptomatic altogether. 21 To date, patients with underlying medical conditions and the elderly are more likely to become severely ill, require hospitalization, and ultimately die. 22 Early predictions for incubation time are between 2 and 14 days, based on data from similar coronaviruses. The 14-day criterion for epidemiological risk assumes the longest estimated incubation time. 23 In addition, the World Health Organization (WHO) has created its own interim case definition. 24

By definition, the main features of a novel virus, for example, how it is transmitted, will not be immediately known. However, as with the development of any 3I Tool, it is essential to understand specific characteristics of the disease. In the case of a novel virus such as 2019-CoV, this is challenging since information is rapidly evolving and the science is not yet fully understood. It is possible that the virus will undergo mutations over time that could substantially change its

The Identify-Isolate-Inform (3I) Tool Applied to a Novel Emerging Coronavirus Koenig et al. features. Nevertheless, an appreciation of the key concepts that drive evidence-based management is beneficial (Table 1). Management guidance will likely change over time.

With the initial discovery of a new potential public health threat, it will likely be unclear how patients become sick. For example, rather than a contagion, there could be a contaminant or a toxin responsible for signs and symptoms. In this case, the possibility of an environmental toxin in the Wuhan Market was a consideration early on when limited to no human-tohuman transmission was reported. The mode of transmission has implications for the types of personal protective equipment (PPE) needed to protect healthcare providers in the prehospital, clinic, and hospital settings. 25 In addition, patients may need decontamination after exposure to certain toxins. 26 Another important consideration for application of the 3I Tool is whether the disease is contagious prior to symptom onset (like measles) or only after symptoms develop (like Ebola). A January 30, 2020 letter to the New England Journal of Medicine describes a purported confirmed instance of transmission from an asymptomatic individual. Researchers state that, before symptom onset, the primary case infected two individuals, one of which infected two additional colleagues. 27 Subsequent investigation suggested that the source patient did have mild symptoms and had taken an antipyretic, calling this reported asymptomatic transmission into question.

While quarantine may not be feasible and can have unintended consequences, 28, 29, 30 it is a public health tool that can be considered in cases when disease is transmissible before symptom onset"|January 31, 2020,
68| Fever and cough|Fever and cough
69| fever and respiratory symptoms|patients with underlying medical conditions and the elderly
70| patients with underlying medical conditions and the elderly|patients with underlying medical conditions and the elderly
71| between 2 and 14 days|between 2 and 14 days
72| through contact with infected respiratory secretions|close contact with an infected person
73||Although the likelihood of coinfection of 2019-nCoV and another respiratory virus is thought to be low, a positive finding of another respiratory pathogen does not exclude the diagnosis of 2019-nCoV
74| Over 168 million|168 million people across 50 countries
75| may represent a still greater threat to those in complex humanitarian crises|those in complex humanitarian crises, which lack the infrastructure, support, and health systems to mount a comprehensive response.
76| Poor governance, public distrust, and political violence|Poor governance, public distrust, and political violence
77|Populations affected by humanitarian crises|Populations affected by humanitarian crises
78|Populations affected by humanitarian crises are expected to be particularly susceptible to COVID-19|due to displacement, crowded housing, malnutrition, inadequate water, sanitation, and hygiene (WASH) tools, and stigmatization
79| reduce access to limited healthcare|Disease outbreaks further reduce access to limited healthcare, which is increasingly disrupted by attacks on health facilities and the persistent overburdening of health systems.
80| limited public health, laboratory, and primary care services|limited public health, laboratory, and primary care services
81| Frequent displacement and limited contact information may prevent effective contact tracing|Providing the limited healthcare worker cadre with appropriate training and personal protective equipment, and ensuring a continuous supply chain
82| Frequent displacement and limited contact information|Frequent displacement and limited contact information
83| overcrowding|overcrowding limit the implementation of both quarantine of those exposed and isolation of those who are ill.
84| humanitarian crises|increased vulnerabilities, humanitarian crises
85| Resources must be identified to protect healthcare workers|to protect healthcare workers, develop and deploy rapid testing, improve surveillance, and enact quarantine and isolation of contacts and cases.
86| Respiratory hygiene|Respiratory hygiene i
87| respiratory viruses|hand hygiene, safe cough practice, and social distancing [
88| distribution of soap|the distribution of soap to households in humanitarian settings has been shown to increase handwashing by over 30%
89| hand hygiene is an avenue of agency for protecting one's own health, consistent with the rights to dignity|the rights to dignity and to fully participate in decisions related to assistance in humanitarian crises.
90| alcohol-based hand rubs|Widespread introduction of alcohol-based hand rubs
91|The Sphere Handbook|The Sphere Handbook, a collection of rights-based guidelines for humanitarian response
92| reducing both bacterial and viral pathogen transmission|reducing both bacterial and viral pathogen transmission,
93| humanitarian WASH standards are based on evidence pertaining to the prevention of illnesses transmitted by the faecal-oral route|evidence pertaining to the prevention of illnesses transmitted by the faecal-oral route, with the focus on hand hygiene proximate to latrines
94| latrines in crisis settings are often shared and distant from residential shelters|latrines in crisis settings are often shared and distant from residential shelters,
95| accessing latrine-adjacent handwashing stations|for accessing latrine-adjacent handwashing stations, particularly for hand hygiene to prevent respiratory pathogen transmission.
96| Crisis-affected community engagement|Crisis-affected community engagement is integral in pandemic planning,
97| mitigation plans will fall short of health and human rights obligations in outbreak response|mitigation plans will fall short of health and human rights obligations in outbreak response
98| Transparent and credible information-sharing mechanisms|Transparent and credible information-sharing mechanisms
99| Diplomacy bridging long-standing mistrust of public health and biomedical interventions and facilitating engagement with contentious actors|Diplomacy bridging long-standing mistrust of public health and biomedical interventions and facilitating engagement with contentious actors
100| between 21 and 25 million|During the 1918-1919 influenza pandemic, between 21 and 25 million people died of influenza worldwide.
101|" Many families were too poor to buy food and coal, and to afford health care expenses when their family members were ill. Influenza virus could infect all members of a family, and this could result in no one left to feed the fires, and to prepare food for the whole family, even if they had firewood, coal, and food left in their homes. Sadly, a large number of people died of influenza virus infections along with starvation, cold, and poor living conditions (8).

In recent years, while hunger and malnutrition are not major and serious problems in some developed countries anymore, they are still very difficult to overcome in many developing countries. In these less-developed countries, there were approximately 925 million people who suffered from hunger; 125 million children were underweight; and 195 million children were stunted each year (9). Nevertheless, in comparison to 1918 and 1919, currently, we have much better social and economic conditions and public health systems globally; and generally speaking, the majority of people in the world have better nutritional and educational statuses; better living and working conditions; therefore, better general health and immunity. Furthermore, in 1918 and 1919, physicians and nurses almost had nothing in their hands to help individuals who were infected by influenza viruses. Today, although we still do not have very effective, powerful, and practical anti-influenza drugs available, we at least have some improved, useful, and helpful anti-viral drugs like zanamivir, and effective, convenient anti-cold medicines like Tylenol or Advil. We do not have a universal vaccine to prevent all influenza virus infections, but we can make effective vaccines to a specific influenza virus strain in a short time. Actually, in the United States of America, the influenza classed mortality rate declined from 10.2/100,000 in the 1940s to 0.56/100,000 in the 1990s; and the classed mortality rates of 1957-1958 and 1968-1969 influenza pandemics were not remarkably different from the non-pandemic seasons (10).

Because of the above reasons, we can optimistically assume that even the same strain of influenza virus, which caused pandemic in 1918 and 1919, would not be able to kill millions of people and cause a pandemic comparable to the 1918-1919 pandemic again in the future.

Additionally, a significant number of viruses can cause influenza-like syndromes, such as rhinovirus, parainfluenza virus, adenovirus, coronavirus, respiratory syncytial virus, Coxsackie B virus, echovirus, and metapneumovirus (11, 12). Some of the above-mentioned viruses like adenovirus and mutated coronavirus could cause problems that are comparable to influenza viruses (13, 14).

The World Health Organization (WHO) mistakenly raised the level of influenza pandemic alert from phase 5 to the highest phase 6 on June 11, 2009 (15). However, the truth was that most cases of H1N1 influenza A virus infections were mild, the symptomatic case fatality rate was only 0.005% in New Zealand (16) ; and in New York City, the case fatality rate was 0.0094-0.0147% for persons ≥65 years old, and for those of 0-17 years old, the case fatality rate was 0.0008-0.0012% (17). Some researchers argued that it should not have been called an influenza pandemic in the first place if the clinical severity was considered (15, (18) (19) (20). I believe it was unwise that we had paid too much www.frontiersin.org 23). Not surprisingly, every year there would be some influenza patients and a few of them would die from the infections, as it is almost impossible to eliminate influenza viruses from the natural environment in many years. The severity of a viral infection is determined by both of the viral virulence (pathogenicity) and the host immunity. Some researchers' opinions on H7N9 avian influenza virus were incorrect and/or inadequate. They mainly focused on influenza viruses and worried about viral mutations, viral pathogenicity, viral adaptation, and transmission. They overestimated the negative part of socio-economic factors of the present east China: overcrowded population in the epidemic region; very busy national and international transportation and travel; a large number of live poultry markets... but they underestimated the currently changed, developed, and improved positive part of socio-economic factors in China. The following factors might be used to explain why that H7N9 influenza A virus epidemic was limited and controlled in China, and only a few immunocompromised patients were killed by H7N9 influenza A virus. First, China has a relatively organized and effective public health system, there are four levels of (national, provincial, prefectural-level city, and county) centers for disease control and prevention all over China (24). Second, physicians and nurses in China were prepared and knowledgeable of influenza virus infections. Third, samples from patients with suspected influenza virus infections were collected and sent to the local and national centers for disease control and prevention promptly. H7N9 influenza A viruses were isolated and identified very quickly. Thereby, they were able to diagnose, confirm, and report three cases of H7N9 influenza patients in the early stage of the epidemic (24, 25). Fourth, health care and public health workers were protected properly. Consequently, none of the health professionals was infected by H7N9 influenza A virus in 2013. However, a surgeon died of H7N9 influenza in Shanghai, China in January of 2014 (26). Fifth, they detected H7N9 influenza A viruses from the samples of chickens, pigeons, and the environment of live poultry markets in Shanghai (27) ; and closed the live poultry markets of the involved epidemic region quickly. Sixth, patients were isolated and treated timely in hospitals, 74% (1251/1689) of those close contacts of H7N9 influenza patients were monitored and observed. Thus, H7N9 influenza A virus could not spread to a bigger population (24). Last but not least, we are connected to the Internet now, and it seems that our planet is much smaller today than the earlier days when we did not have the Internet, because communication and information exchange have become so fast, easy, and convenient presently. During that avian influenza epidemic, some influenza experts in the world shared/exchanged H7N9 influenza A virus information and provided professional consultations and suggestions efficiently and rapidly. All these public health routine practices and measures resulted in that H7N9 influenza epidemic being controlled and stopped in China (24). I have to point out that the cases of diagnosed H7N9 avian influenza A virus infection might only be the tip of the iceberg. Aside from one laboratory confirmed asymptotic case of H7N9 influenza A virus infection in Beijing (22), there were probably many undetected mild or asymptotic cases of influenza A H7N9 infection. The reason is that most people usually think a common cold is a very common and normal occurrence, and they don't take flu-like illnesses seriously. In most situations, they would just stay home and take some medicines. Only those who have very severe flu-like symptoms would see doctors, and thereby be detected and diagnosed, accordingly the real case fatality rate should be much lower than the detected 32.14% (45/140, one case from Taiwan, and one case from Hong Kong) (22, 23).

Nowadays, we travel faster, and we travel more frequently and globally, and we have more complicated social activities and lifestyles, thereby increasing the chances of viral mutation; and we realize that influenza viruses are even easier to reassort, recombine, and mutate in nature than many other RNA viruses. However, we are now living in a technologically, economically, and socially much better and advanced society"|Malnutrition weakened the human immune system and made a person more vulnerable to infectious diseases like tuberculosis and influenza, therefore, hunger and malnutrition were indirectly responsible for millions of deaths in the world in that period of time.
102|" influenza viruses are wellknown popular topics to medical professionals and the general public. Influenza viruses had caused a pandemic globally during 1918 and 1919, and that influenza pandemic had taken away more than 20 million people's lives in the world. However, in my opinion, it is unlikely that influenza viruses will again cause a pandemic on a level (both of the morbidity rate and the mortality rate) comparable to what happened in 1918 and 1919.

Influenza viruses very easily reassort, recombine, and point mutate in nature due to their segmented RNA genome structures, however, unlike highly pathogenic (virulent) viruses like rabies virus, Lassa fever virus, smallpox virus, eastern equine encephalitis virus, Ebola virus, Marburg virus, and human immunodeficiency virus 1 (HIV-1); most influenza viruses (wild types and mutants) are moderately pathogenic. The case fatality rates of some highly virulent viruses and related references are listed in Table 1.

On November 11, 1918, the fighting of World War I was stopped, and World War I was officially ended on June 28, 1919 with the signing of the Versailles Treaty. It is estimated that around 8.5-10 million soldiers lost their lives in World War I due to battle. The war also directly caused more than 6 million civilian deaths. Millions of people suffered from hunger and malnutrition during the war. Malnutrition weakened the human immune system and made a person more vulnerable to infectious diseases like tuberculosis and influenza, therefore, hunger and malnutrition were indirectly responsible for millions of deaths in the world in that period of time. For example, about 700,000 Germans died from malnutrition-related diseases in the years of 1914-1918. During the 1918-1919 influenza pandemic, between 21 and 25 million people died of influenza worldwide. Those people were killed both directly and indirectly by influenza virus infections. Many families were too poor to buy food and coal, and to afford health care expenses when their family members were ill. Influenza virus could infect all members of a family, and this could result in no one left to feed the fires, and to prepare food for the whole family, even if they had firewood, coal, and food left in their homes. Sadly, a large number of people died of influenza virus infections along with starvation, cold, and poor living conditions (8).

In recent years, while hunger and malnutrition are not major and serious problems in some developed countries anymore, they are still very difficult to overcome in many developing countries. In these less-developed countries, there were approximately 925 million people who suffered from hunger; 125 million children were underweight; and 195 million children were stunted each year (9). Nevertheless, in comparison to 1918 and 1919, currently, we have much better social and economic conditions and public health systems globally; and generally speaking, the majority of people in the world have better nutritional and educational statuses; better living and working conditions; therefore, better general health and immunity. Furthermore, in 1918 and 1919, physicians and nurses almost had nothing in their hands to help individuals who were infected by influenza viruses. Today, although we still do not have very effective, powerful, and practical anti-influenza drugs available, we at least have some improved, useful, and helpful anti-viral drugs like zanamivir, and effective, convenient anti-cold medicines like Tylenol or Advil. We do not have a universal vaccine to prevent all influenza virus infections, but we can make effective vaccines to a specific influenza virus strain in a short time. Actually, in the United States of America, the influenza classed mortality rate declined from 10.2/100,000 in the 1940s to 0.56/100,000 in the 1990s; and the classed mortality rates of 1957-1958 and 1968-1969 influenza pandemics were not remarkably different from the non-pandemic seasons (10).

Because of the above reasons, we can optimistically assume that even the same strain of influenza virus, which caused pandemic in 1918 and 1919, would not be able to kill millions of people and cause a pandemic comparable to the 1918-1919 pandemic again in the future.

Additionally, a significant number of viruses can cause influenza-like syndromes, such as rhinovirus, parainfluenza virus, adenovirus, coronavirus, respiratory syncytial virus, Coxsackie B virus, echovirus, and metapneumovirus (11, 12). Some of the above-mentioned viruses like adenovirus and mutated coronavirus could cause problems that are comparable to influenza viruses"|in 1918 and 1919, physicians and nurses almost had nothing in their hands to help individuals who were infected by influenza viruses. T
103| we still do not have very effective, powerful, and practical anti-influenza drugs|Today, although we still do not have very effective, powerful, and practical anti-influenza drugs available, we at least have some improved, useful, and helpful anti-viral drugs like zanamivir, and effective, convenient anti-cold medicines like Tylenol or Advil.
104| 0.56/100,000 in the 1990s|in the United States of America, the influenza classed mortality rate declined from 10.2/100,000 in the 1940s to 0.56/100,000 in the 1990s; and the classed mortality rates of 1957-1958 and 1968-1969 influenza pandemics were not remarkably different from the non-pandemic seasons
105| it is unlikely|We do not have a universal vaccine to prevent all influenza virus infections, but we can make effective vaccines to a specific influenza virus strain in a short time.
106| 0.0094-0.0147% for persons ≥65 years old, and for those of 0-17 years old, the case fatality rate was 0.0008-0.0012%|that most cases of H1N1 influenza A virus infections were mild, the symptomatic case fatality rate was only 0.005% in New Zealand (16) ; and in New York City, the case fatality rate was 0.0094-0.0147% for persons ≥65 years old, and for those of 0-17 years old, the case fatality rate was 0.0008-0.0012% (17) .
